time_view,weekday_num,weekday_name,hour_of_day,email_count
1. UTC (Global),1,Monday,0,242
1. UTC (Global),1,Monday,1,242
1. UTC (Global),1,Monday,2,210
1. UTC (Global),1,Monday,3,192
1. UTC (Global),1,Monday,4,172
1. UTC (Global),1,Monday,5,190
1. UTC (Global),1,Monday,6,312
1. UTC (Global),1,Monday,7,687
1. UTC (Global),1,Monday,8,1625
1. UTC (Global),1,Monday,9,2182
1. UTC (Global),1,Monday,10,2527
1. UTC (Global),1,Monday,11,2329
1. UTC (Global),1,Monday,12,2209
1. UTC (Global),1,Monday,13,3113
1. UTC (Global),1,Monday,14,4027
1. UTC (Global),1,Monday,15,4348
1. UTC (Global),1,Monday,16,4315
1. UTC (Global),1,Monday,17,3558
1. UTC (Global),1,Monday,18,2887
1. UTC (Global),1,Monday,19,2588
1. UTC (Global),1,Monday,20,2619
1. UTC (Global),1,Monday,21,2465
1. UTC (Global),1,Monday,22,2252
1. UTC (Global),1,Monday,23,1488
1. UTC (Global),2,Tuesday,0,1239
1. UTC (Global),2,Tuesday,1,794
1. UTC (Global),2,Tuesday,2,610
1. UTC (Global),2,Tuesday,3,498
1. UTC (Global),2,Tuesday,4,345
1. UTC (Global),2,Tuesday,5,312
1. UTC (Global),2,Tuesday,6,382
1. UTC (Global),2,Tuesday,7,810
1. UTC (Global),2,Tuesday,8,1802
1. UTC (Global),2,Tuesday,9,2687
1. UTC (Global),2,Tuesday,10,2673
1. UTC (Global),2,Tuesday,11,2557
1. UTC (Global),2,Tuesday,12,2223
1. UTC (Global),2,Tuesday,13,3267
1. UTC (Global),2,Tuesday,14,4050
1. UTC (Global),2,Tuesday,15,4529
1. UTC (Global),2,Tuesday,16,4533
1. UTC (Global),2,Tuesday,17,3834
1. UTC (Global),2,Tuesday,18,2989
1. UTC (Global),2,Tuesday,19,2768
1. UTC (Global),2,Tuesday,20,2506
1. UTC (Global),2,Tuesday,21,2445
1. UTC (Global),2,Tuesday,22,2791
1. UTC (Global),2,Tuesday,23,1552
1. UTC (Global),3,Wednesday,0,1051
1. UTC (Global),3,Wednesday,1,733
1. UTC (Global),3,Wednesday,2,586
1. UTC (Global),3,Wednesday,3,460
1. UTC (Global),3,Wednesday,4,327
1. UTC (Global),3,Wednesday,5,316
1. UTC (Global),3,Wednesday,6,382
1. UTC (Global),3,Wednesday,7,895
1. UTC (Global),3,Wednesday,8,2022
1. UTC (Global),3,Wednesday,9,2499
1. UTC (Global),3,Wednesday,10,2534
1. UTC (Global),3,Wednesday,11,2491
1. UTC (Global),3,Wednesday,12,2135
1. UTC (Global),3,Wednesday,13,3260
1. UTC (Global),3,Wednesday,14,4039
1. UTC (Global),3,Wednesday,15,4411
1. UTC (Global),3,Wednesday,16,4467
1. UTC (Global),3,Wednesday,17,3707
1. UTC (Global),3,Wednesday,18,2883
1. UTC (Global),3,Wednesday,19,2559
1. UTC (Global),3,Wednesday,20,2408
1. UTC (Global),3,Wednesday,21,2396
1. UTC (Global),3,Wednesday,22,1967
1. UTC (Global),3,Wednesday,23,2544
1. UTC (Global),4,Thursday,0,902
1. UTC (Global),4,Thursday,1,777
1. UTC (Global),4,Thursday,2,531
1. UTC (Global),4,Thursday,3,385
1. UTC (Global),4,Thursday,4,332
1. UTC (Global),4,Thursday,5,310
1. UTC (Global),4,Thursday,6,381
1. UTC (Global),4,Thursday,7,769
1. UTC (Global),4,Thursday,8,1684
1. UTC (Global),4,Thursday,9,2324
1. UTC (Global),4,Thursday,10,2410
1. UTC (Global),4,Thursday,11,2275
1. UTC (Global),4,Thursday,12,2014
1. UTC (Global),4,Thursday,13,2968
1. UTC (Global),4,Thursday,14,3629
1. UTC (Global),4,Thursday,15,4187
1. UTC (Global),4,Thursday,16,4066
1. UTC (Global),4,Thursday,17,3441
1. UTC (Global),4,Thursday,18,2832
1. UTC (Global),4,Thursday,19,2455
1. UTC (Global),4,Thursday,20,2337
1. UTC (Global),4,Thursday,21,2196
1. UTC (Global),4,Thursday,22,1956
1. UTC (Global),4,Thursday,23,1303
1. UTC (Global),5,Friday,0,924
1. UTC (Global),5,Friday,1,656
1. UTC (Global),5,Friday,2,493
1. UTC (Global),5,Friday,3,373
1. UTC (Global),5,Friday,4,344
1. UTC (Global),5,Friday,5,293
1. UTC (Global),5,Friday,6,295
1. UTC (Global),5,Friday,7,756
1. UTC (Global),5,Friday,8,1623
1. UTC (Global),5,Friday,9,2117
1. UTC (Global),5,Friday,10,2393
1. UTC (Global),5,Friday,11,2109
1. UTC (Global),5,Friday,12,1891
1. UTC (Global),5,Friday,13,2861
1. UTC (Global),5,Friday,14,3447
1. UTC (Global),5,Friday,15,3701
1. UTC (Global),5,Friday,16,3874
1. UTC (Global),5,Friday,17,3038
1. UTC (Global),5,Friday,18,2265
1. UTC (Global),5,Friday,19,2146
1. UTC (Global),5,Friday,20,2097
1. UTC (Global),5,Friday,21,1954
1. UTC (Global),5,Friday,22,1544
1. UTC (Global),5,Friday,23,880
1. UTC (Global),6,Saturday,0,599
1. UTC (Global),6,Saturday,1,458
1. UTC (Global),6,Saturday,2,327
1. UTC (Global),6,Saturday,3,251
1. UTC (Global),6,Saturday,4,224
1. UTC (Global),6,Saturday,5,116
1. UTC (Global),6,Saturday,6,129
1. UTC (Global),6,Saturday,7,138
1. UTC (Global),6,Saturday,8,149
1. UTC (Global),6,Saturday,9,173
1. UTC (Global),6,Saturday,10,195
1. UTC (Global),6,Saturday,11,182
1. UTC (Global),6,Saturday,12,183
1. UTC (Global),6,Saturday,13,210
1. UTC (Global),6,Saturday,14,242
1. UTC (Global),6,Saturday,15,262
1. UTC (Global),6,Saturday,16,260
1. UTC (Global),6,Saturday,17,221
1. UTC (Global),6,Saturday,18,195
1. UTC (Global),6,Saturday,19,174
1. UTC (Global),6,Saturday,20,178
1. UTC (Global),6,Saturday,21,139
1. UTC (Global),6,Saturday,22,177
1. UTC (Global),6,Saturday,23,165
1. UTC (Global),7,Sunday,0,141
1. UTC (Global),7,Sunday,1,104
1. UTC (Global),7,Sunday,2,99
1. UTC (Global),7,Sunday,3,94
1. UTC (Global),7,Sunday,4,91
1. UTC (Global),7,Sunday,5,58
1. UTC (Global),7,Sunday,6,71
1. UTC (Global),7,Sunday,7,75
1. UTC (Global),7,Sunday,8,133
1. UTC (Global),7,Sunday,9,177
1. UTC (Global),7,Sunday,10,190
1. UTC (Global),7,Sunday,11,215
1. UTC (Global),7,Sunday,12,181
1. UTC (Global),7,Sunday,13,205
1. UTC (Global),7,Sunday,14,214
1. UTC (Global),7,Sunday,15,263
1. UTC (Global),7,Sunday,16,277
1. UTC (Global),7,Sunday,17,311
1. UTC (Global),7,Sunday,18,286
1. UTC (Global),7,Sunday,19,294
1. UTC (Global),7,Sunday,20,365
1. UTC (Global),7,Sunday,21,343
1. UTC (Global),7,Sunday,22,295
1. UTC (Global),7,Sunday,23,288
2. Portland (West Desk),1,Monday,0,1151
2. Portland (West Desk),1,Monday,1,1871
2. Portland (West Desk),1,Monday,2,2377
2. Portland (West Desk),1,Monday,3,2311
2. Portland (West Desk),1,Monday,4,2288
2. Portland (West Desk),1,Monday,5,2587
2. Portland (West Desk),1,Monday,6,3621
2. Portland (West Desk),1,Monday,7,4340
2. Portland (West Desk),1,Monday,8,4486
2. Portland (West Desk),1,Monday,9,3799
2. Portland (West Desk),1,Monday,10,2987
2. Portland (West Desk),1,Monday,11,2913
2. Portland (West Desk),1,Monday,12,2664
2. Portland (West Desk),1,Monday,13,2586
2. Portland (West Desk),1,Monday,14,2442
2. Portland (West Desk),1,Monday,15,1827
2. Portland (West Desk),1,Monday,16,1410
2. Portland (West Desk),1,Monday,17,891
