month,dead_zone_mail_count,total_mail_count,dead_zone_percentage
2000-09,221,5908,3.7406905890318214
2000-10,285,7103,4.01238913135295
2000-11,309,8212,3.7627861665854847
2000-12,369,7747,4.763134116432168
2001-01,323,7001,4.61362662476789
2001-02,345,6953,4.9618869552711065
2001-03,466,8246,5.651224836284259
2001-04,735,10118,7.264281478553074
2001-05,640,12204,5.244182235332677
2001-06,486,8644,5.6223970384081445
2001-07,423,5935,7.12721145745577
2001-08,282,6354,4.4381491973559966
2001-09,267,6946,3.843938957673481
2001-10,797,18260,4.36473165388828
2001-11,815,15017,5.427182526470001
2001-12,481,5666,8.489234027532651
2002-01,482,8374,5.755911153570575
2002-02,186,3749,4.961323019471859
